,Unnamed: 0,links,rest_name,rest_location,rest_rating_aggr,rest_cuisine,rest_cuisine_2,rest_cuisine_3,rest_no_review,rest_price_cat,post1,post2,area,rest1,rest2
306,474,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12435059-Reviews-Blue_Bike_Cafe-Copenhagen_Zealand.html,Blue Bike Café,"Soelvgade 36, København 1307 Danmark",4.5,Café,Europæisk,Vegetarvenlig,62.0,1.0,"Soelvgade 36, København 1307",1307.0,København K,Café,Café
307,1077,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12511587-Reviews-Steak_Thai_Restaurant-Copenhagen_Zealand.html,Steak & Thai Restaurant,"Solvgade 86, København 1307 Danmark",4.0,Asiatisk,Thai,Grill,33.0,2.5,"Solvgade 86, København 1307",1307.0,København K,Asiatisk,Asiatisk
308,1036,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7699890-Reviews-Cafe_Bacchouse-Copenhagen_Zealand.html,Café Bacchouse,"Sølvgade 84, København 1307 Danmark",4.0,Café,Europæisk],,38.0,2.5,"Sølvgade 84, København 1307",1307.0,København K,Café,Café
309,1288,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3599492-Reviews-Nagoya-Copenhagen_Zealand.html,Nagoya,"Soelvgade 84, København 1307 Danmark",3.5,Japansk,Fisk og skaldyr,Sushi,64.0,2.5,"Soelvgade 84, København 1307",1307.0,København K,Japansk,Japansk
310,1485,https://www.tripadvisor.dk/Restaurant_Review-g189541-d8130827-Reviews-Kongens_Hytte-Copenhagen_Zealand.html,Kongens Hytte,"Soelvgade 14, København 1307 Danmark",4.5,Dansk],,,7.0,0.0,"Soelvgade 14, København 1307",1307.0,København K,Dansk,Skandinavisk
311,1638,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1180647-Reviews-Traktorstedet_Rosenborg_Slot-Copenhagen_Zealand.html,Traktorstedet Rosenborg Slot,"Oester Voldgade 4 A, København 1350 Danmark",3.5,Café,International,Europæisk,21.0,2.5,"Oester Voldgade 4 A, København 1350",1350.0,København K,Café,Café
312,1459,https://www.tripadvisor.dk/Restaurant_Review-g189541-d10147470-Reviews-The_Garden_Cafe-Copenhagen_Zealand.html,The Garden Cafe,"Oester Voldgade 4A, København 1350 Danmark",3.5,Café,Europæisk,Dansk,19.0,1.0,"Oester Voldgade 4A, København 1350",1350.0,København K,Café,Café
313,1061,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12994516-Reviews-Taim_Restaurant-Copenhagen_Zealand.html,Taim Restaurant,"Chabad Huset Ole Suhrs Gade 10, København 1354 Danmark",4.5,International,Europæisk,Dansk,12.0,2.5,"Chabad Huset Ole Suhrs Gade 10, København 1354",1354.0,København K,International,International
314,1689,https://www.tripadvisor.dk/Restaurant_Review-g189541-d15046442-Reviews-Y_s_cafe_and_cocktail-Copenhagen_Zealand.html,Y's café and cocktail,"Nørre Voldgade 102, København 1358 Danmark",4.0,Café,Pub],,6.0,0.0,"Nørre Voldgade 102, København 1358",1358.0,København K,Café,Café
315,163,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694936-Reviews-Bankerat-Copenhagen_Zealand.html,Bankeråt,"Ahlefeldtsgade 27-29, København 1359 Danmark",4.0,Bar,Café,Grill,133.0,2.5,"Ahlefeldtsgade 27-29, København 1359",1359.0,København K,Bar,Bar
316,1090,https://www.tripadvisor.dk/Restaurant_Review-g189541-d16678199-Reviews-Desserthuset-Copenhagen_Zealand.html,Desserthuset,"Frederiksborggade 50, København 1360 Danmark",4.5,Café],,,13.0,2.5,"Frederiksborggade 50, København 1360",1360.0,København K,Café,Café
317,977,https://www.tripadvisor.dk/Restaurant_Review-g189541-d10374484-Reviews-Omegn-Copenhagen_Zealand.html,Omegn,"Rømersgade 18 Torvehallerne - Hal 1 - Stade E2, København 1360 Danmark",4.5,Europæisk,Dansk],,19.0,2.5,"Rømersgade 18 Torvehallerne - Hal 1 - Stade E2, København 1360",1360.0,København K,Europæisk,Europæisk
318,150,https://www.tripadvisor.dk/Restaurant_Review-g189541-d779844-Reviews-Halifax-Copenhagen_Zealand.html,Halifax,"Frederiksborggade 35, København 1360 Danmark",4.5,Amerikansk,Bar,Vegetarvenlig,574.0,2.5,"Frederiksborggade 35, København 1360",1360.0,København K,Amerikansk,Amerikansk
319,2,https://www.tripadvisor.dk/Restaurant_Review-g189541-d20912732-Reviews-Keyser_Social-Copenhagen_Zealand.html,Keyser Social,"Frederiksborggade 20d, København 1360 Danmark",5.0,Japansk,Asiatisk,Thai,71.0,4.0,"Frederiksborggade 20d, København 1360",1360.0,København K,Japansk,Japansk
320,969,https://www.tripadvisor.dk/Restaurant_Review-g189541-d16742165-Reviews-Sushi_Tsukiji-Copenhagen_Zealand.html,Sushi-Tsukiji,"Frederiksborggade 26, København 1360 Danmark",4.5,Japansk,Sushi],,28.0,2.5,"Frederiksborggade 26, København 1360",1360.0,København K,Japansk,Japansk
321,1152,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12143119-Reviews-Homemate-Copenhagen_Zealand.html,Homemate,"Frederiksborggade 21 Torvehallerne KBH, København 1360 Danmark",5.0,Europæisk,Skandinavisk],,10.0,1.0,"Frederiksborggade 21 Torvehallerne KBH, København 1360",1360.0,København K,Europæisk,Europæisk
322,688,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7998141-Reviews-Croissant_en-Copenhagen_Zealand.html,Croissant'en,"Frederiksborggade 3, København 1360 Danmark",4.5,Café,Europæisk,Dansk,36.0,2.5,"Frederiksborggade 3, København 1360",1360.0,København K,Café,Café
323,479,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6888546-Reviews-Le_Petit_i_Torvehallerne-Copenhagen_Zealand.html,Le Petit i Torvehallerne,"Frederiksborggade 21, København 1360 Danmark",4.5,Fransk,Bar,Europæisk,58.0,2.5,"Frederiksborggade 21, København 1360",1360.0,København K,Fransk,Fransk
324,1314,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6620729-Reviews-La_Valenciana_Latin_Spanish_Cuisine-Copenhagen_Zealand.html,La Valenciana - Latin & Spanish Cuisine,"Frederiksborggade 37 Esta abierto, København 1360 Danmark",4.0,Latinamerikansk,Middelhavsområdet,Europæisk,49.0,2.5,"Frederiksborggade 37 Esta abierto, København 1360",1360.0,København K,Latinamerikansk,Latinamerikansk
