,links,rest_name,rest_location,rest_rating,rest_cuisine,rest_cuisine_2,rest_cuisine_3,rest_no_review,rest_price_cat
337,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7131893-Reviews-Restaurant_Gorilla-Copenhagen_Zealand.html,Restaurant Gorilla,"Flaesketorvet 63, København 1711 Danmark",4.0,Europæisk,Skandinavisk,Dansk,828,2.5
338,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3604769-Reviews-Cafe_Toldboden-Copenhagen_Zealand.html,Cafe Toldboden,"Amaliegade 41, København 1256 Danmark",4.5,Fisk og skaldyr,Europæisk,Skandinavisk,55,2.5
339,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7215227-Reviews-Sushi_Lovers-Copenhagen_Zealand.html,Sushi Lovers Torvehallerne,"Roemersgade 18, København 1362 Danmark",4.5,Japansk,Fisk og skaldyr,Sushi,133,2.5
340,https://www.tripadvisor.dk/Restaurant_Review-g806262-d927164-Reviews-La_Fiesta_Mexicana-Frederiksberg_Copenhagen_Zealand.html,La Fiesta Mexicana,"Frederiksberg Alle 21B, Frederiksberg, København 1820 Danmark",4.0,Mexicansk,Latinamerikansk,Mellemamerikansk,206,2.5
341,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6726665-Reviews-Voulez_Vous-Copenhagen_Zealand.html,Voulez Vous,"Larsbjørnsstræde 20, København 1454 Danmark",4.5,Fransk,Bar,Café,111,2.5
342,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3344375-Reviews-NyhavnsKroen-Copenhagen_Zealand.html,NyhavnsKroen,"Nyhavn 47 1051, København 1051 Danmark",4.0,Dansk,Vegetarvenlig],,321,2.5
343,https://www.tripadvisor.dk/Restaurant_Review-g189541-d783688-Reviews-Pastis-Copenhagen_Zealand.html,Pastis,"Gothersgade 52, København 1123 Danmark",4.0,Fransk,Europæisk],,435,2.5
344,https://www.tripadvisor.dk/Restaurant_Review-g189541-d4093614-Reviews-SimpleRAW-Copenhagen_Zealand.html,simpleRAW,"Grabrødretorv 9 København K, København 1154 Danmark",4.5,Europæisk,Sund,Vegetarvenlig,95,2.5
345,https://www.tripadvisor.dk/Restaurant_Review-g189541-d11596479-Reviews-Veve-Copenhagen_Zealand.html,Veve,"Dampfaergevej 7, København 2100 Danmark",4.5,Europæisk,Dansk,Vegetarvenlig,108,4.0
346,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694970-Reviews-Nimb_Brasserie-Copenhagen_Zealand.html,Nimb Brasserie,"Bernstorffsgade 5, København 1577 Danmark",4.0,Europæisk,Skandinavisk,Dansk,905,4.0
347,https://www.tripadvisor.dk/Restaurant_Review-g189541-d794185-Reviews-Boef_Ost-Copenhagen_Zealand.html,Bøf & Ost,"Gråbrødretorv 13, København 1154 Danmark",3.5,Fransk,Europæisk,Moderne,304,2.5
348,https://www.tripadvisor.dk/Restaurant_Review-g189541-d15334999-Reviews-Godtfolk-Copenhagen_Zealand.html,Godtfolk,"H.C. Andersens Boulevard 8, København 1553 Danmark",4.5,Europæisk,Skandinavisk,Dansk,54,2.5
349,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1437917-Reviews-Gorm_s_Magstraede-Copenhagen_Zealand.html,Gorm's Magstræde,"Magstræde 16, København 1204 Danmark",4.0,Italiensk,Pizza,Europæisk,265,2.5
350,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2465499-Reviews-Madklubben_Grill_Copenhagen-Copenhagen_Zealand.html,Madklubben Grill Copenhagen,"Pilestraede 23, København 1112 Danmark",4.0,Steakhouse,Europæisk,Skandinavisk,463,2.5
351,https://www.tripadvisor.dk/Restaurant_Review-g189541-d8771825-Reviews-Musling_Bistro-Copenhagen_Zealand.html,Musling Bistro,"Linnesgade 14 1361 Copenhagen K, København 1361 Danmark",4.0,Fisk og skaldyr,Europæisk,Fusion,221,2.5
352,https://www.tripadvisor.dk/Restaurant_Review-g806262-d4106452-Reviews-Famosi_e_Golosi-Frederiksberg_Copenhagen_Zealand.html,Famosi e Golosi,"Rolighedsvej 10 Italiensk restaurant tæt på metro Forum og Aksel Møllers Have, Frederiksberg, København 1958 Danmark",4.5,Italiensk,Middelhavsområdet,Europæisk,120,2.5
353,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3809403-Reviews-RetroGusto-Copenhagen_Zealand.html,RetroGusto,"Vesterbrogade 31, 1620 Kbh-V Vesterbrogade 31,, København 1620 Danmark",4.5,Italiensk,Middelhavsområdet,Europæisk,618,2.5
354,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12178953-Reviews-Ris8-Copenhagen_Zealand.html,Ris8,"Vesterbrogade 97, København 1620 Danmark",4.5,Italiensk,Europæisk,Vegetarvenlig,66,2.5
355,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694944-Reviews-Cafe_Victor-Copenhagen_Zealand.html,Café Victor,"Ny Østergade 8, København 1101 Danmark",4.0,Fransk,Europæisk,Dansk,667,2.5
356,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3442422-Reviews-Ristorante_L_Appetito-Copenhagen_Zealand.html,Ristorante L’Appetito,"Vester Farimagsgade 9, København 1606 Danmark",4.0,Italiensk,Middelhavsområdet,Europæisk,332,2.5
357,https://www.tripadvisor.dk/Restaurant_Review-g806262-d983550-Reviews-Carne_Famo-Frederiksberg_Copenhagen_Zealand.html,Carne Famo,"Gammel Kongevej 51, Frederiksberg, København 1610 Danmark",4.0,Italiensk,Europæisk,Vegetarvenlig,219,2.5
358,https://www.tripadvisor.dk/Restaurant_Review-g189541-d8279186-Reviews-Moeller_Coffee_Kitchen-Copenhagen_Zealand.html,Møller Kaffe & Køkken,"Nørrebrogade 160, København 2200 Danmark",4.0,Café,International,Europæisk,215,2.5
359,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1315995-Reviews-Nyhavns_Faergekro-Copenhagen_Zealand.html,Nyhavns Faergekro,"Nyhavn 5, København 1051 Danmark",4.0,Europæisk,Skandinavisk,Dansk,1073,2.5
360,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1484312-Reviews-Rosie_McGee_s_Restaurant_Bar-Copenhagen_Zealand.html,Rosie McGee's Restaurant & Bar,"Vesterbrogade 2a, København 1620 Danmark",4.0,Amerikansk,Bar,Grill,795,2.5
361,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2436505-Reviews-Restaurant_Gilleleje-Copenhagen_Zealand.html,Restaurant Gilleleje,"Nyhavn 10, København 1051 Danmark",4.5,Europæisk,Skandinavisk,Dansk,104,2.5
362,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3411443-Reviews-Restaurant_Jacobsen-Copenhagen_Zealand.html,Restaurant Jacobsen,"Kultorvet 2 80m from Nørreport station, København 1175 Danmark",4.0,Europæisk,Skandinavisk,Dansk,281,2.5
363,https://www.tripadvisor.dk/Restaurant_Review-g189541-d10127436-Reviews-Skagen_Fiskerestaurant_Illum_Rooftop-Copenhagen_Zealand.html,Skagen Fiskerestaurant Illum Rooftop,"Oestergade 52 4. Sal, København 1001 Danmark",4.0,Fisk og skaldyr,Europæisk,Skandinavisk,219,2.5
364,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7191616-Reviews-Baest-Copenhagen_Zealand.html,Baest,"Guldbergsgade 29, København 2200 Danmark",4.0,Italiensk,Pizza,Europæisk,817,2.5
365,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12172094-Reviews-Hungry_Dane-Copenhagen_Zealand.html,Hungry Dane,"Gammel Torv 8 (Odense & Amsterdam), København 1457 Danmark",4.0,En hurtig bid mad,Amerikansk,Fastfood,157,1.0
366,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2412570-Reviews-Cocks_Cows_Gl_Strand-Copenhagen_Zealand.html,Cock's & Cows Gl. Strand,"Gammel Strand 34, København 1202 Danmark",4.0,Amerikansk,Bar,Vegetarvenlig,961,2.5
367,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1115514-Reviews-Cap_Horn-Copenhagen_Zealand.html,Cap Horn,"Nyhavn 21, København 1052 Danmark",4.0,Europæisk,Pub,Gastropub,1516,2.5
368,https://www.tripadvisor.dk/Restaurant_Review-g189541-d4744181-Reviews-Ravage_Restaurant_Copenhagen-Copenhagen_Zealand.html,Ravage Restaurant Copenhagen,"Kongens Nytorv 16, København 1050 Danmark",4.0,Europæisk,Dansk,Vegetarvenlig,343,2.5
369,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694995-Reviews-Soren_K-Copenhagen_Zealand.html,Søren K,"S. Kierkegaards Plads 1, København 1221 Danmark",4.0,Europæisk,Skandinavisk,Dansk,261,4.0
370,https://www.tripadvisor.dk/Restaurant_Review-g189541-d4131789-Reviews-Cafe_Fremtiden-Copenhagen_Zealand.html,Cafe Fremtiden,"Skt. Annae Plads 22, København 1250 Danmark",4.0,Europæisk,Skandinavisk,Dansk,114,2.5
371,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1812651-Reviews-Cafe_Oscar-Copenhagen_Zealand.html,Cafe Oscar,"Bredgade 58, København 1264 Danmark",4.0,Bar,Café,Europæisk,629,2.5
372,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1098090-Reviews-Restaurant_Groften-Copenhagen_Zealand.html,Restaurant Grøften,"Vesterbrogade 3 Tivoli, København 1620 Danmark",4.0,Europæisk,Skandinavisk,Dansk,1026,2.5
373,https://www.tripadvisor.dk/Restaurant_Review-g189541-d808420-Reviews-B_india-Copenhagen_Zealand.html,B'india,"Blegdamsvej 130, København 2100 Danmark",4.5,Indisk,Vegetarvenlig,Veganske retter,188,2.5
374,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7361083-Reviews-Lidkoeb-Copenhagen_Zealand.html,Lidkoeb,"Vesterbrogade 72B, København 1620 Danmark",4.5,Bar],,,94,2.5
